Country Code,State Code,ZIP/Postcode,City,Rate %
US,OK,74842,PONTOTOC,5.375
US,OK,74455,PORUM,10.15
US,OK,74953,POTEAU,9.5
US,OK,74864,PRAGUE,9.5
US,OK,74060,PRUE,8.75
US,OK,74361,PRYOR,9.875
US,OK,74362,PRYOR,9.875
US,OK,73051,PURCELL,9.625
US,OK,73080,PURCELL,10
US,OK,73093,PURCELL,10
US,OK,73095,PURCELL,10
US,OK,74543,PUSHMATAHA,6.5
US,OK,74557,PUSHMATAHA,6.5
US,OK,74558,PUSHMATAHA,6.5
US,OK,74567,PUSHMATAHA,6.5
US,OK,74574,PUSHMATAHA,6.5
US,OK,74754,PUSHMATAHA,6.5
US,OK,74363,QUAPAW,8.85
US,OK,74561,QUINTON,9
US,OK,74650,RALSTON,9.1
US,OK,74061,RAMONA,7.5
US,OK,73562,RANDLETT,6.5
US,OK,73481,RATLIFF CITY,8.875
US,OK,74562,RATTAN,10
US,OK,73455,RAVIA,9.5
US,OK,74563,RED OAK,8.75
US,OK,74651,RED ROCK,11
US,OK,74458,REDBIRD,5.8
US,OK,74459,RENTIESVILLE,10.5
US,OK,73660,REYDON,8
US,OK,73456,RINGLING,9
US,OK,74062,RIPLEY,8.313
US,OK,73661,ROCKY,9.5
US,OK,74865,ROFF,9.875
US,OK,73638,ROGER MILLS,6
US,OK,73642,ROGER MILLS,6
US,OK,74053,ROGERS,9
US,OK,74948,ROLAND,9.917
US,OK,74954,ROLAND,9.917
US,OK,73564,ROOSEVELT,9
US,OK,73082,RUSH SPRINGS,9.75
US,OK,73565,RYAN,9.5
US,OK,74866,SAINT LOUIS,5.995
US,OK,74365,SALINA,9.875
US,OK,74955,SALLISAW,9.917
US,OK,74063,SAND SPRINGS,9.8
US,OK,74073,SAND SPRINGS,9.8
US,OK,74126,SAND SPRINGS,9.8
US,OK,74127,SAND SPRINGS,9.8
US,OK,74039,SAPULPA,9.667
US,OK,74067,SAPULPA,9.667
US,OK,74107,SAPULPA,9.667
US,OK,74131,SAPULPA,9.667
US,OK,74132,SAPULPA,9.667
US,OK,74867,SASAKWA,9.75
US,OK,74501,SAVANNA,11
US,OK,74565,SAVANNA,11
US,OK,73662,SAYRE,8.85
US,OK,74460,SCHULTER,6.583
US,OK,73663,SEILING,10.25
US,OK,74818,SEMINOLE,9.75
US,OK,74868,SEMINOLE,9.75
US,OK,73664,SENTINEL,9.5
US,OK,74956,SHADY POINT,10
US,OK,74068,SHAMROCK,8.667
US,OK,73857,SHARON,5.4
US,OK,73858,SHATTUCK,10.5
US,OK,74801,SHAWNEE,9.995
US,OK,74802,SHAWNEE,9.995
US,OK,74840,SHAWNEE,9.995
US,OK,74873,SHAWNEE,9.995
US,OK,74652,SHIDLER,7.75
US,OK,74070,SKIATOOK,10.25
US,OK,74071,SLICK,8.667
US,OK,74957,SMITHVILLE,6.75
US,OK,73566,SNYDER,10
US,OK,74759,SOPER,8.5
US,OK,74072,SOUTH COFFEYVILLE,8.5
US,OK,74869,SPARKS,9.5
US,OK,74366,SPAVINAW,8.875
US,OK,74367,SPAVINAW,8.875
US,OK,73425,STEPHENS,5.2
US,OK,73567,STERLING,7.875
US,OK,74462,STIGLER,10
US,OK,74074,STILLWATER,9.313
US,OK,74075,STILLWATER,9.313
US,OK,74076,STILLWATER,9.313
US,OK,74077,STILLWATER,9.313
US,OK,74078,STILLWATER,9.313
US,OK,74960,STILWELL,10
US,OK,74872,STRATFORD,9.25
US,OK,74569,STRINGTOWN,9.5
US,OK,74570,STUART,9.5
US,OK,73086,SULPHUR,9.5
US,OK,73666,SWEETWATER,7
US,OK,74463,TAFT,9.15
US,OK,74464,TAHLEQUAH,9.5
US,OK,74465,TAHLEQUAH,9.5
US,OK,74080,TALALA,9
US,OK,74571,TALIHINA,9.5
US,OK,73667,TALOGA,9.25
US,OK,73487,TATUMS,10.375
US,OK,73568,TEMPLE,9.5
US,OK,73569,TERRAL,9.5
US,OK,73901,TEXAS,5.95
US,OK,73949,TEXHOMA,8.95
US,OK,73668,TEXOLA,5.85
US,OK,73459,THACKERVILLE,9
US,OK,73120,THE VILLAGE,9
US,OK,73134,THE VILLAGE,9
US,OK,73156,THE VILLAGE,9
US,OK,73669,THOMAS,9.5
US,OK,73553,TILLMAN,6.5
US,OK,73570,TIPTON,10.5
US,OK,73460,TISHOMINGO,9.5
US,OK,74653,TONKAWA,10.25
US,OK,74875,TRYON,9.5
US,OK,74454,TULLAHASSEE,9.8
US,OK,74043,TULSA,4.867
US,OK,74050,TULSA,4.867
US,OK,74101,TULSA,8.517
US,OK,74102,TULSA,8.517
US,OK,74103,TULSA,9.4
US,OK,74104,TULSA,8.517
US,OK,74105,TULSA,8.517
US,OK,74106,TULSA,9.4
US,OK,74108,TULSA,9.45
US,OK,74110,TULSA,8.517
US,OK,74112,TULSA,8.517
US,OK,74114,TULSA,8.517
US,OK,74115,TULSA,8.517
US,OK,74117,TULSA,8.517
US,OK,74119,TULSA,8.517
US,OK,74120,TULSA,8.517
US,OK,74121,TULSA,8.517
US,OK,74128,TULSA,8.517
US,OK,74129,TULSA,8.517
US,OK,74130,TULSA,8.517
US,OK,74134,TULSA,8.517
US,OK,74135,TULSA,8.517
US,OK,74136,TULSA,8.517
US,OK,74137,TULSA,8.517
US,OK,74141,TULSA,8.517
US,OK,74145,TULSA,8.517
US,OK,74146,TULSA,8.517
US,OK,74147,TULSA,8.517
US,OK,74148,TULSA,8.517
US,OK,74149,TULSA,8.517
US,OK,74150,TULSA,8.517
US,OK,74152,TULSA,8.517
US,OK,74153,TULSA,8.517
US,OK,74155,TULSA,8.517
US,OK,74156,TULSA,8.517
US,OK,74157,TULSA,8.517
US,OK,74158,TULSA,8.517
US,OK,74159,TULSA,8.517
US,OK,74169,TULSA,8.517
US,OK,74170,TULSA,8.517
US,OK,74171,TULSA,8.517
US,OK,74172,TULSA,8.517
US,OK,74182,TULSA,8.517
US,OK,74186,TULSA,8.517
US,OK,74187,TULSA,8.517
US,OK,74192,TULSA,8.517
US,OK,74193,TULSA,8.517
US,OK,74572,TUPELO,9.5
US,OK,73089,TUTTLE,9.75
US,OK,73951,TYRONE,8.95
US,OK,73090,UNION CITY,8.85
US,OK,73491,VELMA,9.2
US,OK,73533,VELMA,9.2
US,OK,74082,VERA,7.5
US,OK,73092,VERDEN,9
US,OK,74962,VIAN,9.917
US,OK,73859,VICI,10.25
US,OK,74477,WAGONER,9.8
US,OK,74450,WAINWRIGHT,9.15
US,OK,74468,WAINWRIGHT,9.15
US,OK,73771,WAKITA,9.75
US,OK,73572,WALTERS,9.5
US,OK,74878,WANETTE,9.495
